,driver1,driver2
595,Daniel Ricciardo,Esteban Gutiérrez
596,Lance Stroll,Vitantonio Liuzzi
597,Sebastian Vettel,Anthony Davidson
598,Daniel Ricciardo,Daniil Kvyat
599,George Russell,Bruno Senna
600,Kevin Magnussen,Paul di Resta
601,Guanyu Zhou,Bruno Senna
602,Max Verstappen,Kamui Kobayashi
603,Lance Stroll,Antonio Giovinazzi
604,Fernando Alonso,Pastor Maldonado
605,Daniel Ricciardo,Sebastian Vettel
606,Sebastian Vettel,Juan Pablo Montoya
607,Esteban Ocon,Kimi Räikkönen
608,Valtteri Bottas,Giancarlo Fisichella
609,Kevin Magnussen,Antonio Giovinazzi
610,Max Verstappen,Brendon Hartley
611,Lance Stroll,Jacques Villeneuve
612,Valtteri Bottas,Heinz-Harald Frentzen
613,Charles Leclerc,Sergey Sirotkin
614,Kevin Magnussen,Jacques Villeneuve
615,George Russell,Kimi Räikkönen
616,Fernando Alonso,Takuma Sato
617,Carlos Sainz,Adrian Sutil
618,Daniel Ricciardo,Jean-Éric Vergne
619,Sebastian Vettel,David Coulthard
620,Sergio Pérez,Pedro de la Rosa
621,Sebastian Vettel,Nick Heidfeld
622,Pierre Gasly,Max Verstappen
623,Mick Schumacher,Kimi Räikkönen
624,Valtteri Bottas,Esteban Gutiérrez
625,Lando Norris,Narain Karthikeyan
626,Fernando Alonso,Eddie Irvine
627,Fernando Alonso,Marcus Ericsson
628,Daniel Ricciardo,Stoffel Vandoorne
629,Lewis Hamilton,Daniel Ricciardo
630,Lance Stroll,Scott Speed
631,Carlos Sainz,Kamui Kobayashi
632,Carlos Sainz,Jenson Button
633,Lewis Hamilton,Damon Hill
634,Valtteri Bottas,Sebastian Vettel
635,Fernando Alonso,Anthony Davidson
636,Sebastian Vettel,Alexander Wurz
637,Carlos Sainz,Brendon Hartley
638,Fernando Alonso,Lando Norris
639,Kevin Magnussen,Nikita Mazepin
640,Carlos Sainz,Michael Schumacher
641,Max Verstappen,Nyck de Vries
642,Guanyu Zhou,Rubens Barrichello
643,Carlos Sainz,Paul di Resta
644,Lewis Hamilton,Jean Alesi
645,Max Verstappen,Pascal Wehrlein
646,Charles Leclerc,Mark Webber
647,Daniel Ricciardo,Nelson Piquet Jr.
648,Daniel Ricciardo,Lance Stroll
649,Fernando Alonso,David Coulthard
650,Charles Leclerc,Giancarlo Fisichella
651,Charles Leclerc,Esteban Ocon
652,Lando Norris,Carlos Sainz
653,Alexander Albon,Esteban Ocon
654,Valtteri Bottas,Stoffel Vandoorne
655,Fernando Alonso,Nick Heidfeld
656,Max Verstappen,Jolyon Palmer
657,Charles Leclerc,Robert Kubica
658,Daniel Ricciardo,Pastor Maldonado
659,Alexander Albon,Robert Kubica
660,Charles Leclerc,Sergio Pérez
661,Sebastian Vettel,Vitantonio Liuzzi
662,Alexander Albon,Sergio Pérez
663,Sebastian Vettel,Pedro de la Rosa
664,Esteban Ocon,Adrian Sutil
665,Lewis Hamilton,Stoffel Vandoorne
666,Fernando Alonso,Alexander Wurz
667,Charles Leclerc,Esteban Gutiérrez
668,Charles Leclerc,Daniil Kvyat
669,Sergio Pérez,Nico Rosberg
670,Esteban Ocon,Kamui Kobayashi
